fire_id,year,month,day,lat,long,acres_burned,na_l3name,na_l2name,na_l1name,yearmonth,mean_potential_et,total_precip,max_air_temp,mean_wind_speed
OK3698209465619840221,1984,2,21,36.982,-94.656,1048,Ozark Highlands,OZARK/OUACHITA-APPALACHIAN FORESTS,EASTERN TEMPERATE FORESTS,Feb-84,2.2190759,76.97399214,285.456605,4.98075844
CA3607412018819840329,1984,3,29,36.074,-120.188,1462,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,Mar-84,3.51695217,33.65336747,293.4086944,3.735445466
FL2854908065019840418,1984,4,18,28.549,-80.65,836,Southern Coastal Plain,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,EASTERN TEMPERATE FORESTS,Apr-84,4.780236327,100.2297244,299.7834683,3.848943924
NJ3990507449119840420,1984,4,20,39.905,-74.491,599,Atlantic Coastal Pine Barrens,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,EASTERN TEMPERATE FORESTS,Apr-84,2.962402648,123.7784064,288.0971946,4.395608213
CA3268211688619840421,1984,4,21,32.682,-116.886,3021,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,Apr-84,4.447993247,22.64790122,293.9144802,4.237329861
MO3703109139719840425,1984,4,25,37.031,-91.397,610,Ozark Highlands,OZARK/OUACHITA-APPALACHIAN FORESTS,EASTERN TEMPERATE FORESTS,Apr-84,3.849421576,122.7946264,291.8400458,5.230316017
MI4442008339519840428,1984,4,28,44.42,-83.395,1693,Northern Lakes and Forests,MIXED WOOD SHIELD,NORTHERN FORESTS,Apr-84,3.175634378,57.57185979,286.0557428,4.954750657
ME4458006760419840501,1984,5,1,44.58,-67.604,901,Acadian Plains and Hills,MIXED WOOD PLAINS,EASTERN TEMPERATE FORESTS,May-84,3.483420277,181.1905991,289.841036,4.483741433
CA3433111896419840507,1984,5,7,34.331,-118.964,10917,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,May-84,6.403153096,3.022235033,301.301059,4.027658541
CA3480712050119840507,1984,5,7,34.807,-120.501,3159,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,May-84,6.403153096,3.022235033,301.301059,4.027658541
CA3470111707519840512,1984,5,12,34.701,-117.075,2458,Mojave Basin and Range,WARM DESERTS,NORTH AMERICAN DESERTS,May-84,7.947267246,0.384136511,306.2618502,3.727515784
FL2677908157819840514,1984,5,14,26.779,-81.578,1170,Southern Coastal Plain,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,EASTERN TEMPERATE FORESTS,May-84,5.430619444,119.5447133,302.9403775,3.394991083
FL2912908170019840519,1984,5,19,29.129,-81.7,2321,Southern Coastal Plain,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,EASTERN TEMPERATE FORESTS,May-84,5.430619444,119.5447133,302.9403775,3.394991083
CA3709812116219840521,1984,5,21,37.098,-121.162,1409,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,May-84,6.403153096,3.022235033,301.301059,4.027658541
MO3778009148819840522,1984,5,22,37.78,-91.488,1014,Ozark Highlands,OZARK/OUACHITA-APPALACHIAN FORESTS,EASTERN TEMPERATE FORESTS,May-84,4.450419997,105.7563002,297.082381,3.947943996
CA3589912013419840525,1984,5,25,35.899,-120.134,6693,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,May-84,6.403153096,3.022235033,301.301059,4.027658541
CA3626012031719840525,1984,5,25,36.26,-120.317,1136,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,May-84,6.403153096,3.022235033,301.301059,4.027658541
